"Label (Grouping)","Census Tract 401; Kent County; Delaware!!Estimate","Census Tract 401; Kent County; Delaware!!Margin of Error"
"Total:","2,536","±211"
"    Households with one or more people under 18 years:","877","±165"
"        Family households:","877","±165"
"            Married-couple family","723","±157"
"            Other family:","154","±108"
"                Male householder, no spouse present","35","±38"
"                Female householder, no spouse present","119","±97"
"        Nonfamily households:","0","±18"
"            Male householder","0","±18"
"            Female householder","0","±18"
"    Households with no people under 18 years:","1,659","±212"
"        Family households:","1,072","±189"
"            Married-couple family","967","±178"
"            Other family:","105","±93"
"                Male householder, no spouse present","61","±80"
"                Female householder, no spouse present","44","±32"
"        Nonfamily households:","587","±188"
"            Male householder","431","±183"
"            Female householder","156","±96"
