"Label (Grouping)","Census Tract 401; Kent County; Delaware!!Total!!Estimate","Census Tract 401; Kent County; Delaware!!Total!!Margin of Error","Census Tract 401; Kent County; Delaware!!Percent!!Estimate","Census Tract 401; Kent County; Delaware!!Percent!!Margin of Error","Census Tract 401; Kent County; Delaware!!Male!!Estimate","Census Tract 401; Kent County; Delaware!!Male!!Margin of Error","Census Tract 401; Kent County; Delaware!!Percent Male!!Estimate","Census Tract 401; Kent County; Delaware!!Percent Male!!Margin of Error","Census Tract 401; Kent County; Delaware!!Female!!Estimate","Census Tract 401; Kent County; Delaware!!Female!!Margin of Error","Census Tract 401; Kent County; Delaware!!Percent Female!!Estimate","Census Tract 401; Kent County; Delaware!!Percent Female!!Margin of Error"
"Total population","7,343","±882","(X)","(X)","3,962","±554","(X)","(X)","3,381","±488","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","369","±150","5.0%","±1.9","72","±69","1.8%","±1.7","297","±121","8.8%","±3.4"
"        5 to 9 years","667","±248","9.1%","±2.9","505","±226","12.7%","±4.7","162","±126","4.8%","±3.5"
"        10 to 14 years","606","±321","8.3%","±3.8","405","±233","10.2%","±5.0","201","±128","5.9%","±3.5"
"        15 to 19 years","452","±165","6.2%","±2.2","261","±132","6.6%","±3.3","191","±125","5.6%","±3.6"
"        20 to 24 years","275","±130","3.7%","±1.8","98","±66","2.5%","±1.6","177","±116","5.2%","±3.4"
"        25 to 29 years","399","±197","5.4%","±2.8","288","±130","7.3%","±3.5","111","±98","3.3%","±2.9"
"        30 to 34 years","346","±157","4.7%","±2.1","197","±119","5.0%","±3.0","149","±82","4.4%","±2.3"
"        35 to 39 years","483","±169","6.6%","±2.1","251","±105","6.3%","±2.4","232","±113","6.9%","±3.2"
"        40 to 44 years","407","±109","5.5%","±1.5","112","±76","2.8%","±2.0","295","±97","8.7%","±3.1"
"        45 to 49 years","304","±141","4.1%","±2.0","132","±94","3.3%","±2.3","172","±94","5.1%","±2.8"
"        50 to 54 years","427","±142","5.8%","±2.0","244","±97","6.2%","±2.6","183","±109","5.4%","±3.4"
"        55 to 59 years","755","±253","10.3%","±3.1","510","±233","12.9%","±5.6","245","±119","7.2%","±3.6"
"        60 to 64 years","806","±363","11.0%","±4.5","311","±116","7.8%","±3.3","495","±310","14.6%","±8.0"
"        65 to 69 years","531","±190","7.2%","±2.7","311","±170","7.8%","±4.5","220","±85","6.5%","±2.5"
"        70 to 74 years","227","±86","3.1%","±1.2","121","±69","3.1%","±1.7","106","±55","3.1%","±1.7"
"        75 to 79 years","118","±72","1.6%","±1.0","67","±67","1.7%","±1.7","51","±44","1.5%","±1.3"
"        80 to 84 years","137","±60","1.9%","±0.9","66","±46","1.7%","±1.2","71","±56","2.1%","±1.7"
"        85 years and over","34","±31","0.5%","±0.4","11","±18","0.3%","±0.5","23","±24","0.7%","±0.7"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,273","±502","17.3%","±5.6","910","±376","23.0%","±7.1","363","±211","10.7%","±5.7"
"        15 to 17 years","344","±126","4.7%","±1.7","217","±125","5.5%","±3.2","127","±85","3.8%","±2.6"
"        Under 18 years","1,986","±541","27.0%","±5.3","1,199","±405","30.3%","±7.0","787","±220","23.3%","±4.8"
"        18 to 24 years","383","±145","5.2%","±2.0","142","±79","3.6%","±1.9","241","±134","7.1%","±3.8"
"        15 to 44 years","2,362","±326","32.2%","±4.2","1,207","±244","30.5%","±6.0","1,155","±200","34.2%","±5.0"
"        16 years and over","5,552","±595","75.6%","±5.4","2,935","±306","74.1%","±7.2","2,617","±371","77.4%","±4.9"
"        18 years and over","5,357","±584","73.0%","±5.3","2,763","±300","69.7%","±7.0","2,594","±368","76.7%","±4.8"
"        21 years and over","5,148","±575","70.1%","±5.4","2,667","±287","67.3%","±7.0","2,481","±358","73.4%","±5.8"
"        60 years and over","1,853","±410","25.2%","±5.1","887","±211","22.4%","±5.9","966","±307","28.6%","±6.9"
"        62 years and over","1,467","±264","20.0%","±4.2","796","±192","20.1%","±5.5","671","±129","19.8%","±4.4"
"        65 years and over","1,047","±190","14.3%","±3.0","576","±177","14.5%","±4.6","471","±89","13.9%","±3.1"
"        75 years and over","289","±84","3.9%","±1.3","144","±81","3.6%","±2.1","145","±81","4.3%","±2.4"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","41.7","±5.0","(X)","(X)","38.7","±5.9","(X)","(X)","43.7","±3.4","(X)","(X)"
"        Sex ratio (males per 100 females)","117.2","±17.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","70.4","±15.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","24.3","±6.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","46.1","±12.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
