"Label (Grouping)","Census Tract 401; Kent County; Delaware!!Total!!Estimate","Census Tract 401; Kent County; Delaware!!Total!!Margin of Error","Census Tract 401; Kent County; Delaware!!Native; born in state of residence!!Estimate","Census Tract 401; Kent County; Delaware!!Native; born in state of residence!!Margin of Error","Census Tract 401; Kent County; Delaware!!Native; born in other state in the U.S.!!Estimate","Census Tract 401; Kent County; Delaware!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 401; Kent County; Delaware!!Native; born outside U.S.!!Estimate","Census Tract 401; Kent County; Delaware!!Native; born outside U.S.!!Margin of Error"
"Total population","7,343","±882","4,702","±730","2,227","±407","219","±239"
"    AGE","","","","","","","",""
"        Under 5 years","5.0%","±1.9","7.2%","±2.9","1.3%","±2.0","0.0%","±15.7"
"        5 to 17 years","22.0%","±5.7","26.4%","±7.1","8.7%","±5.9","79.9%","±31.5"
"        18 to 24 years","5.2%","±2.0","5.5%","±2.2","5.3%","±4.6","0.0%","±15.7"
"        25 to 44 years","22.3%","±3.5","23.2%","±5.2","23.2%","±8.0","0.0%","±15.7"
"        45 to 54 years","10.0%","±3.0","9.8%","±3.9","11.9%","±5.4","0.0%","±15.7"
"        55 to 64 years","21.3%","±6.3","18.2%","±7.6","24.5%","±9.7","5.5%","±11.0"
"        65 to 74 years","10.3%","±2.7","7.8%","±3.4","17.5%","±7.2","0.0%","±15.7"
"        75 years and over","3.9%","±1.3","1.7%","±1.1","7.5%","±3.3","14.6%","±26.7"
"        Median age (years)","41.7","±5.0","33.8","±5.7","53.7","±7.5","10.7","±2.4"
"    SEX","","","","","","","",""
"        Male","54.0%","±3.8","51.9%","±6.1","56.0%","±7.5","63.0%","±33.6"
"        Female","46.0%","±3.8","48.1%","±6.1","44.0%","±7.5","37.0%","±33.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","91.7%","±4.6","94.4%","±4.8","98.9%","±1.1","5.5%","±11.0"
"            White","81.6%","±5.6","88.0%","±7.2","82.2%","±6.7","5.5%","±11.0"
"            Black or African American","7.1%","±1.9","3.8%","±3.0","15.3%","±6.5","0.0%","±15.7"
"            American Indian and Alaska Native","0.1%","±0.2","0.1%","±0.3","0.0%","±1.7","0.0%","±15.7"
"            Asian","1.5%","±1.1","0.6%","±0.8","1.5%","±1.8","0.0%","±15.7"
"            Native Hawaiian and Other Pacific Islander","0.0%","±0.5","0.0%","±0.8","0.0%","±1.7","0.0%","±15.7"
"            Some other race","1.6%","±1.3","2.0%","±1.9","0.0%","±1.7","0.0%","±15.7"
"        Two or more races","8.3%","±4.6","5.6%","±4.8","1.1%","±1.1","94.5%","±11.0"
"        Hispanic or Latino origin (of any race)","6.9%","±4.1","3.4%","±3.5","1.3%","±2.1","84.0%","±28.1"
"        White alone, not Hispanic or Latino","81.2%","±5.7","88.0%","±7.2","80.9%","±7.1","5.5%","±11.0"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","6,974","±841","4,363","±684","2,197","±399","219","±239"
"        Speak language other than English","11.8%","±5.8","8.5%","±5.5","3.0%","±2.7","94.5%","±11.0"
"            Speak English  ""very well""","7.1%","±4.7","3.3%","±2.1","3.0%","±2.7","79.9%","±31.5"
"            Speak English less than ""very well""","4.7%","±2.8","5.2%","±4.3","0.0%","±1.7","14.6%","±26.7"
"MARITAL STATUS","","","","","","","",""
"    Population 15 years and over","5,701","±595","3,347","±546","2,115","±389","44","±59"
"        Never married","26.4%","±5.5","28.3%","±6.9","25.9%","±9.4","0.0%","±48.0"
"        Now married, except separated","61.0%","±7.8","55.8%","±9.3","67.1%","±9.7","27.3%","±49.9"
"        Divorced or separated","9.7%","±5.4","14.3%","±8.9","3.5%","±2.3","0.0%","±48.0"
"        Widowed","2.9%","±1.7","1.6%","±1.3","3.5%","±1.9","72.7%","±49.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,974","±563","2,861","±498","1,884","±345","44","±59"
"        Less than high school graduate","10.2%","±3.7","9.9%","±4.6","10.6%","±8.2","0.0%","±48.0"
"        High school graduate (includes equivalency)","40.0%","±6.4","43.6%","±10.8","36.4%","±9.0","100.0%","±48.0"
"        Some college or associate's degree","29.2%","±6.1","30.5%","±8.2","29.6%","±7.2","0.0%","±48.0"
"        Bachelor's degree","12.0%","±3.8","10.0%","±4.9","15.7%","±6.3","0.0%","±48.0"
"        Graduate or professional degree","8.6%","±3.5","6.0%","±3.9","7.7%","±5.1","0.0%","±48.0"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Population 15 years and over","5,701","±595","3,347","±546","2,115","±389","44","±59"
"        $1 to $9,999 or loss","8.7%","±3.4","8.9%","±4.2","8.3%","±5.2","0.0%","±48.0"
"        $10,000 to $14,999","5.8%","±2.8","5.5%","±3.2","6.8%","±5.3","0.0%","±48.0"
"        $15,000 to $24,999","10.5%","±3.3","11.0%","±4.8","10.5%","±5.0","0.0%","±48.0"
"        $25,000 to $34,999","11.1%","±3.5","11.2%","±5.1","11.6%","±5.4","0.0%","±48.0"
"        $35,000 to $49,999","16.6%","±4.1","13.9%","±5.1","20.7%","±8.9","72.7%","±49.9"
"        $50,000 to $64,999","8.5%","±3.0","8.4%","±3.7","9.7%","±4.8","0.0%","±48.0"
"        $65,000 to $74,999","8.6%","±3.2","8.8%","±4.3","9.4%","±6.1","0.0%","±48.0"
"        $75,000 or more","16.9%","±4.3","14.8%","±5.9","16.0%","±5.4","27.3%","±49.9"
"        Median income (dollars)","40,973","±4,676","38,781","±5,228","44,438","±9,252","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","7,319","±879","4,678","±734","2,227","±407","219","±239"
"        Below 100 percent of the poverty level","13.6%","±7.4","17.6%","±9.8","7.6%","±7.3","0.0%","±15.7"
"        100 to 149 percent of the poverty level","7.1%","±5.5","7.1%","±7.5","7.5%","±6.8","0.0%","±15.7"
"        At or above 150 percent of the poverty level","79.3%","±8.6","75.3%","±11.3","85.0%","±9.5","100.0%","±15.7"
"PERCENT ALLOCATED","","","","","","","",""
"    Citizenship status","6.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Place of birth","8.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
