"Label (Grouping)","Census Tract 401; Kent County; Delaware!!Households!!Estimate","Census Tract 401; Kent County; Delaware!!Households!!Margin of Error","Census Tract 401; Kent County; Delaware!!Families!!Estimate","Census Tract 401; Kent County; Delaware!!Families!!Margin of Error","Census Tract 401; Kent County; Delaware!!Married-couple families!!Estimate","Census Tract 401; Kent County; Delaware!!Married-couple families!!Margin of Error","Census Tract 401; Kent County; Delaware!!Nonfamily households!!Estimate","Census Tract 401; Kent County; Delaware!!Nonfamily households!!Margin of Error"
"Total","2,536","±211","1,949","±203","1,690","±200","587","±188"
"    Less than $10,000","1.1%","±1.8","0.9%","±1.5","0.0%","±2.2","4.9%","±7.6"
"    $10,000 to $14,999","2.7%","±2.8","3.5%","±3.7","4.0%","±4.3","0.0%","±6.2"
"    $15,000 to $24,999","7.2%","±4.7","5.1%","±4.0","4.5%","±3.8","14.0%","±14.4"
"    $25,000 to $34,999","0.8%","±1.0","0.1%","±0.2","0.0%","±2.2","3.6%","±4.6"
"    $35,000 to $49,999","16.2%","±8.0","9.0%","±4.8","7.4%","±4.7","37.3%","±23.0"
"    $50,000 to $74,999","20.9%","±7.2","20.9%","±8.4","21.5%","±8.9","25.4%","±16.4"
"    $75,000 to $99,999","12.5%","±5.8","17.4%","±7.6","16.7%","±8.2","3.7%","±4.3"
"    $100,000 to $149,999","24.8%","±7.2","25.7%","±8.4","28.7%","±9.4","11.1%","±11.2"
"    $150,000 to $199,999","9.0%","±4.5","11.3%","±5.8","13.1%","±6.7","0.0%","±6.2"
"    $200,000 or more","4.7%","±3.7","6.1%","±4.8","4.1%","±3.5","0.0%","±6.2"
"Median income (dollars)","76,330","±16,912","86,916","±10,050","92,857","±16,416","48,868","±10,792"
"Mean income (dollars)","94,357","±11,415","104,142","±12,830","N","N","55,169","±12,594"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","39.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","39.9%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","39.4%","(X)"
